income,balance,student,default
39436.22,48.37,No,No
43848.29,1813.72,No,Yes
21154.53,1441.24,No,Yes
32723.11,458.55,No,No
800.0,967.14,No,Yes
19854.74,1037.3,No,Yes
30148.5,1411.51,No,Yes
16875.32,439.4,No,No
55288.47,1363.63,No,No
14443.2,570.34,No,Yes
27648.13,189.2,No,No
35260.69,1185.64,Yes,Yes
52739.26,1459.72,Yes,No
14366.91,2087.17,Yes,Yes
49030.11,255.05,Yes,No
33653.48,1173.44,No,Yes
20426.62,637.15,Yes,No
39680.07,1214.29,No,Yes
36171.86,124.08,Yes,No
25511.91,224.56,No,No
34447.95,460.07,No,No
28378.07,873.57,Yes,No
35030.98,525.27,No,No
42347.84,1154.16,Yes,Yes
54669.71,1332.09,No,No
17008.25,1125.39,No,Yes
61965.27,1618.39,No,Yes
7482.01,1036.51,Yes,Yes
31492.64,246.74,No,No
41363.39,1494.85,No,Yes
37264.59,542.65,No,No
25212.06,1275.75,No,No
30741.27,1596.6,No,Yes
26941.85,1056.27,No,No
25656.64,111.66,Yes,No
44848.14,391.22,Yes,No
38278.52,1475.19,No,Yes
24275.66,753.56,Yes,No
45514.96,873.86,Yes,No
37615.45,1202.42,Yes,No
44358.14,1172.19,No,No
41914.36,970.23,No,Yes
22460.69,734.44,No,No
26045.87,684.13,Yes,No
43483.65,1250.34,No,Yes
41657.51,1103.14,No,Yes
33238.24,710.91,No,No
35081.8,1358.8,No,Yes
50557.22,772.95,No,No
25627.21,423.41,No,No
40813.64,468.25,Yes,No
30820.36,361.94,Yes,No
30613.79,703.6,Yes,No
48171.39,1432.13,No,Yes
44525.58,445.94,Yes,No
44366.78,926.54,No,No
50928.17,517.72,Yes,No
33797.13,709.46,No,No
42612.21,104.95,No,No
29378.97,728.69,No,No
37840.41,741.67,No,No
31781.28,1096.71,Yes,No
34810.64,943.37,No,No
41454.61,255.7,Yes,No
22604.39,1359.81,No,Yes
61423.17,937.1,No,Yes
20099.75,931.33,Yes,Yes
17323.37,830.93,Yes,Yes
48962.72,584.93,No,No
44075.41,940.72,No,Yes
41840.89,1065.42,No,No
41897.24,0.0,No,No
33353.66,574.77,No,No
21550.32,712.05,Yes,Yes
34528.01,959.28,No,No
24485.69,1412.59,Yes,Yes
46522.17,462.07,No,No
31555.7,594.5,No,No
22507.34,587.45,Yes,Yes
29230.68,447.66,No,No
39024.27,667.43,No,No
25998.61,1208.21,No,No
22551.05,325.62,Yes,No
36767.06,1042.31,Yes,Yes
36784.12,12.14,No,No
26755.9,563.85,No,Yes
27234.76,675.99,No,Yes
36611.85,1645.52,Yes,Yes
14203.9,702.45,No,Yes
14745.66,0.0,No,No
23935.11,0.0,No,No
30670.26,851.83,No,No
37663.57,1132.26,No,Yes
53193.83,1016.98,No,No
44955.61,916.43,No,No
31383.9,1397.57,No,Yes
33263.38,574.36,No,No
20146.27,1268.25,No,No
33270.09,45.95,No,No
29667.16,397.64,Yes,No
37821.1,0.0,Yes,No
22484.22,702.42,Yes,Yes
40443.52,812.99,Yes,Yes
53959.14,890.56,Yes,No
32066.47,865.3,No,Yes
38874.63,386.7,No,No
42721.45,743.35,No,No
28165.92,111.04,Yes,No
36505.72,1494.78,Yes,Yes
33684.94,688.5,No,Yes
34819.71,598.89,No,No
23207.37,1603.96,No,Yes
33843.89,234.48,No,No
40158.8,290.91,No,No
52870.9,305.12,No,No
46310.8,802.54,No,Yes
62233.99,1044.15,No,No
23282.89,1193.16,No,Yes
45151.14,2079.47,No,Yes
35962.23,0.0,No,No
62722.4,1129.82,Yes,Yes
22736.73,565.88,No,No
22317.63,551.72,No,No
25522.9,535.58,No,Yes
5190.6,395.79,No,No
26505.01,1650.19,No,Yes
23392.45,1242.8,No,Yes
35522.8,846.59,No,Yes
38075.0,1488.87,Yes,Yes
58539.49,103.74,No,No
46192.8,191.69,Yes,No
25822.84,0.0,Yes,No
21534.84,497.06,No,No
40077.73,913.59,Yes,No
15909.05,885.12,No,Yes
57943.17,907.61,Yes,Yes
49247.19,152.83,Yes,No
27259.6,1223.86,No,No
10668.92,951.28,No,Yes
51573.6,1189.96,No,No
31989.38,0.0,No,No
50025.76,986.04,No,Yes
12252.12,260.84,No,No
25523.14,643.18,No,Yes
33586.94,1093.85,No,No
34143.58,879.43,No,No
27514.48,423.47,Yes,No
41823.95,838.4,No,Yes
19278.15,94.55,No,No
31618.08,1391.77,No,Yes
35121.38,736.07,No,No
40378.07,1376.42,No,Yes
43007.81,580.68,No,No
18517.65,582.11,No,Yes
13056.52,465.73,Yes,No
50557.38,1259.18,Yes,Yes
37949.07,492.21,No,No
23534.44,1147.17,No,No
54204.71,650.37,Yes,No
35059.75,0.0,Yes,No
49245.29,559.5,No,No
34417.49,265.02,No,No
61001.2,851.77,No,No
56927.98,259.56,No,No
30196.57,1283.27,Yes,No
46474.84,791.32,No,No
42124.38,749.47,Yes,No
51770.44,1152.63,Yes,Yes
20647.82,1301.62,No,Yes
42666.87,825.65,No,No
47633.21,462.33,Yes,No
10060.69,0.0,Yes,No
17735.88,503.52,No,No
6319.76,536.82,No,No
29923.92,887.15,Yes,No
43086.86,668.42,No,No
53553.94,1168.13,Yes,Yes
34505.2,538.86,No,No
55237.85,807.78,No,No
15110.59,1408.08,No,Yes
10798.99,1000.71,No,Yes
32776.16,806.33,No,No
38639.28,544.2,No,No
33080.95,529.07,Yes,No
5943.52,423.92,Yes,No
32328.41,573.68,No,No
16119.29,1200.89,Yes,Yes
42448.42,728.04,No,No
38406.32,182.47,No,No
20981.82,1690.65,No,Yes
26663.56,990.14,No,Yes
19390.27,154.82,No,No
32681.05,621.64,No,No
46255.73,889.01,Yes,Yes
20370.37,1659.9,No,Yes
40239.47,299.36,Yes,Yes
26444.95,1307.49,Yes,Yes
22942.46,1512.32,No,Yes
32089.54,531.28,Yes,No
19709.97,701.13,Yes,No
26132.98,334.1,Yes,No
17540.9,736.95,No,No
59720.54,817.67,No,No
33987.31,1154.45,Yes,Yes
24184.76,1362.7,No,Yes
36370.85,473.51,Yes,No
32018.88,0.0,No,No
30569.93,825.09,No,Yes
41708.14,977.36,No,Yes
43619.88,956.02,No,Yes
26441.71,677.35,No,Yes
25837.31,895.71,Yes,No
29848.64,1568.41,No,Yes
2816.28,1020.02,Yes,No
13308.9,654.77,No,Yes
51747.0,593.42,Yes,No
55455.93,753.21,No,No
30195.61,1627.08,Yes,Yes
41206.54,746.71,Yes,No
37668.14,825.8,No,No
74000.0,602.07,No,No
48448.77,1366.96,No,Yes
31810.96,1783.36,No,Yes
20772.96,1053.34,No,Yes
12091.83,875.41,Yes,No
36230.59,853.16,Yes,Yes
23429.55,0.0,Yes,No
14548.4,1195.81,No,Yes
24893.66,900.27,Yes,Yes
19092.39,1042.56,Yes,Yes
56018.41,491.23,Yes,No
45275.43,649.4,Yes,No
33410.67,636.55,No,No
53255.01,1329.54,Yes,No
34548.86,652.16,No,No
22030.05,1842.77,No,Yes
53830.91,1043.78,No,Yes
40704.44,218.31,Yes,No
19683.25,773.19,No,No
30978.45,520.15,Yes,No
21838.88,0.0,No,Yes
15074.6,1609.05,Yes,Yes
45869.43,1175.49,No,Yes
58982.89,1093.29,No,No
14864.3,915.38,No,Yes
41025.32,166.87,No,No
24839.38,601.44,No,No
27020.21,1242.55,No,Yes
25616.24,326.88,Yes,No
21993.96,0.0,No,No
34164.13,725.52,No,No
22434.62,766.8,No,Yes
37124.08,900.94,No,Yes
32846.97,1187.76,No,Yes
30330.15,1143.79,Yes,No
21412.82,960.54,Yes,Yes
25824.6,1413.66,Yes,Yes
43591.65,100.63,Yes,No
40197.73,1079.44,No,Yes
20479.35,1138.43,No,Yes
34841.79,235.78,Yes,No
43538.25,108.42,No,No
11252.14,474.55,No,No
40763.79,515.38,No,Yes
24679.59,1199.81,No,Yes
41127.07,538.11,No,No
23337.41,421.15,Yes,No
9445.29,539.52,No,No
11810.47,1376.46,No,Yes
34158.31,841.68,No,Yes
36980.92,748.66,No,Yes
21456.13,782.16,No,No
42033.91,1460.35,No,Yes
11357.31,472.99,Yes,No
32635.69,1471.69,Yes,Yes
17365.68,937.19,No,Yes
24823.46,757.77,No,Yes
34149.16,2045.08,No,Yes
22041.67,324.75,No,No
28388.18,664.29,No,No
46937.93,239.23,No,No
25822.99,1296.09,No,Yes
44662.63,1652.45,Yes,Yes
18450.1,1643.13,No,Yes
40583.0,1427.41,No,Yes
52743.2,739.78,Yes,No
800.0,658.7,Yes,Yes
22888.81,27.01,No,No
41213.41,1820.14,Yes,Yes
30808.98,1062.22,No,Yes
38466.97,597.41,No,No
25461.65,1477.76,No,Yes
34671.85,364.83,No,No
31440.73,1032.06,No,Yes
49091.71,751.87,No,No
36910.21,1144.3,No,Yes
38019.61,804.62,No,Yes
28023.8,133.54,No,No
27013.8,871.93,No,Yes
27747.97,1342.72,Yes,Yes
38777.81,821.24,No,Yes
27902.33,1210.3,No,Yes
37381.73,329.64,Yes,No
61196.62,822.67,Yes,No
45135.19,533.29,Yes,No
29168.82,1196.69,No,Yes
49537.59,850.6,No,Yes
28074.5,1169.17,Yes,Yes
6334.53,1361.51,No,Yes
20072.15,1169.91,No,Yes
8566.25,967.48,Yes,Yes
28828.86,352.52,No,No
33762.65,834.02,No,No
55875.64,577.51,No,No
37877.23,668.94,Yes,No
30594.86,654.2,Yes,No
44578.78,361.37,Yes,No
4027.09,0.0,No,No
36659.39,512.18,No,No
43798.03,928.91,No,Yes
13797.1,183.24,No,No
48771.25,842.96,Yes,No
38031.53,1754.55,No,Yes
27978.31,1330.23,No,Yes
41956.41,1630.37,No,Yes
63801.23,1024.56,No,No
35942.55,1400.11,No,Yes
36827.52,485.18,Yes,No
27390.5,523.7,Yes,Yes
22182.63,0.0,Yes,No
44591.19,1409.12,Yes,Yes
22099.41,1580.44,No,Yes
34471.48,567.79,Yes,No
27146.48,712.53,Yes,No
39905.15,470.72,No,No
37967.05,1020.46,No,Yes
47354.67,1379.51,No,Yes
26714.91,0.0,No,No
29917.68,1033.42,No,Yes
20463.23,701.54,No,Yes
27591.46,890.22,Yes,No
38549.06,1057.39,No,Yes
43612.96,744.33,No,No
21218.08,785.26,No,No
45114.93,731.92,Yes,No
51597.14,1304.72,No,Yes
39030.98,1037.93,Yes,No
58547.83,942.07,No,Yes
23196.97,220.6,No,No
16917.04,652.25,No,Yes
9794.21,1270.07,No,Yes
53469.74,853.6,No,No
42244.27,1154.39,No,Yes
32775.67,1689.85,No,Yes
37250.94,1337.75,No,No
18506.35,880.43,Yes,Yes
66135.99,588.2,No,No
35240.42,0.0,Yes,No
34976.0,753.92,No,Yes
43196.55,677.67,No,No
39932.22,1024.19,No,Yes
36502.94,760.92,No,Yes
22974.44,680.4,Yes,Yes
39804.97,0.0,Yes,No
58617.56,380.7,No,No
51460.87,1065.93,Yes,No
54765.33,1665.37,No,Yes
26698.92,788.2,Yes,No
20318.64,993.94,No,No
31839.38,1296.09,Yes,Yes
34260.2,443.13,No,No
48110.23,1012.8,No,Yes
10944.6,477.19,No,No
53916.61,1253.69,Yes,No
31409.65,908.61,No,No
27823.69,979.73,Yes,Yes
20018.56,456.82,No,No
11446.18,1177.37,No,Yes
44495.63,1843.77,No,Yes
34494.84,347.83,No,No
16312.79,671.03,No,No
16244.53,947.4,No,Yes
29038.64,1215.76,No,Yes
55776.74,564.71,No,No
30054.83,0.0,No,No
13469.58,1492.82,No,Yes
30239.52,1203.23,Yes,Yes
29879.69,0.0,No,No
800.0,541.48,No,No
32792.87,1593.92,Yes,Yes
30437.03,1535.68,Yes,Yes
42802.3,1289.4,No,No
58176.53,750.18,No,No
48542.0,875.51,No,No
29930.83,772.04,No,No
18759.26,1381.11,No,Yes
67837.9,411.72,No,No
34306.8,445.6,No,No
33702.77,1324.05,No,Yes
33195.24,813.91,Yes,No
36158.86,1502.15,No,Yes
31591.67,510.55,No,No
25866.07,808.87,No,Yes
26223.54,389.19,No,No
33080.17,838.93,Yes,Yes
26269.34,120.18,No,No
24009.78,599.5,No,No
34936.46,140.64,No,No
30116.37,1171.03,No,Yes
53575.75,1181.99,No,No
800.0,0.0,No,No
48074.43,1480.58,No,Yes
50136.04,2043.39,No,Yes
5864.19,857.62,No,Yes
28946.58,525.26,No,No
28563.09,2201.53,Yes,Yes
14745.02,197.37,No,No
23143.26,845.1,No,No
18705.25,922.26,No,Yes
56887.03,1486.03,No,No
45996.14,1009.38,No,No
50475.73,594.18,Yes,No
43141.94,375.27,No,Yes
18458.84,670.03,No,No
26521.47,348.31,No,No
40043.79,858.5,Yes,Yes
17217.48,562.46,No,Yes
43026.26,112.69,No,No
30311.78,1442.5,Yes,Yes
28518.01,594.64,No,No
42999.07,221.96,Yes,No
39442.14,753.98,No,No
28702.79,868.44,No,Yes
48978.98,0.0,No,No
19098.86,995.79,Yes,Yes
41731.73,328.85,No,No
41427.19,1663.01,No,Yes
29388.58,1088.81,No,Yes
37866.64,641.93,No,No
16830.9,474.92,No,No
45840.75,784.6,Yes,Yes
31050.96,1131.78,No,Yes
26545.44,823.04,No,Yes
47507.64,730.33,No,Yes
24123.17,863.6,No,No
14732.35,543.28,Yes,Yes
12756.24,669.36,Yes,Yes
41599.35,0.0,No,No
16439.91,1306.37,No,Yes
56920.69,979.9,No,Yes
5750.31,461.24,No,Yes
56142.64,1753.81,No,Yes
36331.34,877.46,No,Yes
32227.14,334.18,No,No
26249.41,1249.78,Yes,Yes
38840.28,1027.91,Yes,Yes
33015.07,1026.23,No,No
48231.74,629.43,No,No
35040.45,1053.28,No,Yes
35521.57,708.75,No,Yes
28667.5,1104.28,No,Yes
32757.52,0.0,Yes,No
37622.15,625.5,No,No
10708.48,1668.39,Yes,Yes
15536.25,464.33,Yes,No
43429.91,543.29,No,Yes
35795.83,618.69,Yes,No
31063.21,247.76,No,No
33762.85,0.0,Yes,No
38152.7,723.83,Yes,No
26318.23,901.09,No,Yes
23136.75,809.97,No,Yes
36128.99,765.29,Yes,Yes
20468.44,856.19,Yes,Yes
38961.87,1330.13,No,Yes
10809.64,743.25,No,Yes
47242.85,557.68,No,Yes
39820.03,699.39,No,No
36931.67,1115.61,Yes,Yes
46623.15,1518.38,No,Yes
55729.43,531.53,No,No
47045.65,883.23,No,Yes
8965.26,999.04,Yes,Yes
16451.28,355.25,No,No
25183.79,845.25,Yes,Yes
33864.98,126.41,Yes,No
40421.02,0.0,Yes,No
23837.75,1012.77,Yes,No
36007.91,649.69,No,Yes
23442.46,933.22,No,No
25361.19,826.71,Yes,No
14756.36,363.08,No,Yes
21203.84,813.48,No,No
15489.58,238.91,No,Yes
20501.78,1508.2,No,Yes
47569.42,179.47,Yes,No
20854.87,740.67,No,No
68625.08,331.21,No,No
40096.38,1111.29,No,Yes
35982.16,675.05,No,No
22069.08,584.49,No,No
42857.03,1248.07,No,Yes
25839.72,849.61,Yes,Yes
35144.24,1085.28,No,Yes
67660.85,360.69,Yes,No
32235.85,155.85,No,No
48844.86,887.23,Yes,No
24138.74,681.14,No,Yes
33050.36,1138.38,No,Yes
57134.17,796.72,No,No
25155.14,934.57,No,Yes
57689.63,50.12,No,No
42956.29,1748.83,No,Yes
26015.38,755.92,No,Yes
41951.42,1172.8,No,Yes
46487.96,430.94,No,No
41810.08,984.36,No,No
12574.91,205.17,No,No
23819.17,1054.04,Yes,Yes
30215.84,663.18,No,No
32524.28,849.49,No,No
41794.9,1172.99,No,Yes
35887.0,239.18,No,No
15707.51,504.27,Yes,No
38587.7,1056.58,No,Yes
41660.38,1850.3,No,Yes
40982.93,768.58,No,No
47931.37,1121.31,Yes,Yes
44639.02,783.63,No,Yes
39641.08,1774.85,No,Yes
32581.2,0.0,Yes,No
11364.76,881.14,Yes,Yes
39246.82,49.08,No,No
36286.93,0.0,Yes,No
37139.05,979.26,No,Yes
16489.0,902.85,Yes,No
19098.95,697.59,No,Yes
47562.9,784.0,No,No
32989.45,2334.05,No,Yes
42606.17,710.49,No,Yes
33894.68,1082.12,No,Yes
33913.86,521.27,No,No
46030.89,978.18,Yes,No
26634.51,720.13,No,No
34798.96,636.8,Yes,No
27351.63,1715.19,No,Yes
27722.12,1404.79,Yes,Yes
29393.57,901.52,No,Yes
36479.6,0.0,No,No
27131.93,660.75,Yes,No
50265.02,2142.85,Yes,Yes
21585.62,723.8,No,No
31024.69,1369.01,No,Yes
27652.31,1532.85,No,Yes
52815.34,941.29,No,No
36138.45,428.17,Yes,Yes
47278.71,0.0,No,No
13704.08,1166.31,Yes,Yes
37078.65,441.26,No,No
45382.01,920.58,No,No
34614.42,230.82,No,No
47727.31,707.07,No,No
26617.92,851.68,Yes,No
52313.47,965.29,No,No
64177.4,296.12,No,No
28677.82,1414.33,Yes,Yes
27575.33,546.65,Yes,No
52900.79,25.41,No,No
54583.75,782.63,No,No
26543.62,852.0,No,No
27912.97,913.05,No,No
29758.84,1494.25,Yes,Yes
15586.06,721.0,No,Yes
21264.94,777.51,No,Yes
20124.77,301.75,Yes,No
23276.88,1232.28,No,Yes
33054.41,924.52,Yes,No
36640.72,632.2,Yes,No
54196.03,0.0,Yes,No
20201.95,1534.05,No,Yes
46644.91,241.53,No,No
30663.03,549.36,No,No
32857.3,1008.7,No,Yes
42517.07,256.58,No,No
18543.26,112.94,No,No
38617.2,0.0,No,No
35736.97,1184.12,No,No
40084.82,571.66,No,Yes
37373.64,2251.32,Yes,Yes
66263.34,354.39,No,No
25011.46,389.65,No,No
26435.09,561.88,No,No
25206.17,952.98,Yes,Yes
26108.6,607.93,Yes,No
25016.17,1131.56,No,Yes
49374.91,362.02,Yes,No
52462.27,167.08,Yes,No
25904.96,0.0,No,No
22415.87,0.0,No,No
39804.27,584.77,No,Yes
26152.0,689.78,No,No
41958.41,529.94,Yes,No
36223.38,1436.82,No,Yes
13301.52,1429.38,Yes,Yes
54156.08,673.42,No,No
57468.62,0.0,No,No
25344.24,561.25,No,No
28346.22,545.23,No,No
37329.59,517.51,No,No
37977.65,497.88,Yes,No
42300.0,519.28,No,No
60327.1,648.4,No,No
31157.05,527.95,No,No
22870.11,936.14,No,No
15121.02,1009.68,No,Yes
23768.59,394.88,No,Yes
33075.19,1450.2,Yes,Yes
57451.02,361.3,No,No
26613.62,52.82,Yes,No
36501.66,1019.56,No,No
33297.97,439.98,No,No
49366.6,990.78,No,No
67218.7,0.0,No,No
26436.8,1508.91,Yes,Yes
26989.35,1160.57,No,No
47442.97,109.57,No,No
42611.39,120.07,No,No
58146.54,1644.26,Yes,Yes
41304.85,478.69,No,No
28725.12,431.87,No,Yes
41394.56,0.0,Yes,No
48303.78,665.7,No,No
44459.77,725.22,Yes,No
40282.51,1181.46,No,No
47743.24,158.62,Yes,No
49111.9,99.99,No,No
51950.85,1053.51,No,No
42168.84,1322.34,No,Yes
31288.15,75.39,No,No
35473.72,1358.51,No,Yes
49608.21,853.53,Yes,No
22621.53,1363.49,No,Yes
38434.0,801.4,No,Yes
28271.04,0.0,No,No
33900.37,761.86,Yes,No
50567.71,1348.17,Yes,Yes
36065.69,403.06,No,No
34136.32,647.71,No,No
15380.6,750.17,No,Yes
43469.78,0.0,No,No
42125.82,1643.82,No,Yes
62368.33,399.37,No,No
29412.16,1080.0,No,Yes
36439.81,793.43,No,No
36843.03,1443.69,Yes,Yes
54555.49,1031.78,Yes,Yes
32246.04,721.73,Yes,No
37238.31,403.17,No,No
41624.52,1221.3,No,Yes
36005.81,0.0,Yes,No
27562.91,1147.79,No,Yes
36105.58,303.75,Yes,No
47836.03,1441.11,Yes,Yes
19826.37,913.39,Yes,Yes
35290.42,1146.94,Yes,Yes
24179.49,875.03,No,Yes
49455.34,0.0,No,No
13202.26,419.03,No,Yes
26062.66,1160.61,No,Yes
38547.87,915.98,No,Yes
54396.39,1406.63,No,Yes
32640.09,1030.44,Yes,Yes
26112.3,367.77,Yes,No
58605.99,450.31,No,No
14204.84,885.15,Yes,Yes
4191.52,0.0,Yes,No
39385.47,1644.83,No,Yes
26821.1,1049.05,No,Yes
19896.82,1428.9,Yes,Yes
42964.35,70.82,Yes,No
36768.57,1437.38,No,Yes
25993.88,1914.77,No,Yes
16441.58,196.45,Yes,Yes
45152.96,1208.5,No,Yes
42188.73,835.91,No,Yes
32194.29,88.31,No,No
